Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,57.219314,-68.218035,135,top
C2,100nF,C_0402_1005Metric,53.966623,-74.384007,135,top
C3,100nF,C_0402_1005Metric,67.3325,-70.0045,0,top
C5,100nF,C_0402_1005Metric,59.06,-65.66,0,top
C6,12pF,C_0402_1005Metric,56.38,-59.005,270,top
C7,1.2pF,C_0402_1005Metric,67.015,-58.638,0,top
C8,0.8pF,C_0402_1005Metric,68.03,-60.4,0,top
C9,100pF,C_0402_1005Metric,64.38,-60.22,315,top
C10,100nF,C_0402_1005Metric,69.62,-67.7,270,top
C11,12pF,C_0402_1005Metric,61.68,-58.99,90,top
C12,100nF,C_0402_1005Metric,58.49,-62.64,270,top
C13,12pF,C_0402_1005Metric,59.17,-69.28,270,top
C14,12pF,C_0402_1005Metric,59.16,-67.18,90,top
C15,4.7uF,C_0402_1005Metric,61.12,-65.45,180,top
C16,1uF,C_0402_1005Metric,59.57,-62.63,90,top
C17,100nF,C_0402_1005Metric,64.0305,-73.751,0,top
D1,Y,LED_0603_1608Metric,66.54,-78.1575,90,top
D2,R,LED_0603_1608Metric,64.85,-78.1475,90,top
L1,3.9nH,L_0402_1005Metric,66.507,-60.162,270,top
L4,10uH,L_0805_2012Metric,61.15,-63.01,270,top
Q1,AO3401,SOT-23,55.62,-64.86,270,top
Q2,AO3400A,SOT-23,75.25,-69.97,0,top
R1,10k,R_0402_1005Metric,78.7,-71.93,180,top
R2,10k,R_0402_1005Metric,55.78,-62.36,0,top
R3,1k,R_0402_1005Metric,67.95,-77.705,90,top
R8,10k,R_0402_1005Metric,60.196234,-74.150661,225,top
R9,10k,R_0402_1005Metric,58.485035,-75.876002,225,top
R12,10k,R_0402_1005Metric,70.81,-63.27,90,top
R14,10k,R_0402_1005Metric,69.44,-75.91,90,top
R15,10k,R_0402_1005Metric,70.1265,-69.3695,180,top
R16,1k,R_0402_1005Metric,63.45,-77.705,90,top
SW2,BLE_RST_SW,SW_SPST_EVQP7C,76.61,-75.34,45,top
U1,OPT3001,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,64.09,-71.9,0,top
U2,nRF52810-QCxx,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,65.76,-64.333,90,top
U3,LMC555xM,SOIC-8_3.9x4.9mm_P1.27mm,56.222294,-71.873778,315,top
U6,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,67.41,-71.9,0,top
Y1,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,58.98,-58.99,0,top
Y2,32kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,60.91,-68.23,270,top
