Comment,Designator,Footprint,LCSC Part Number
1.2pF,C7,0402,C159809
0.8pF,C8,0402,C285068
100pF,C9,0603,C14858
100nF,"C3,C5,C10,C12,C17",0603,C14663
12pF,"C6,C11,C13,C14",0603,C38523
1uF,"C15,C16",0603,C15849
SWD Debug port,J101,HDR-SMD,C150517
3.9nH,L1,0402,C14033
10uH,L4,0805,C1046
P-Channel Mosfet,Q101,SOT-23-3L,C15127
10k,"R1,R4",0603,C25804
0 Ohm,R101,0603,C21189
10 Ohm,R102,0603,C22859
Temperature & humidity,U6,DFN-4,C194656
"Nordig nRF52 SoC I2C, SPI, UART 4dBm 1.7V ~ 3.6V TxRx + MCU 2.4GHz QFN-48_6x6x04P RF Transceiver ICs ROHS",U101,QFN-48_EP_6.0x6.0x0.4P,C77540
SMD Ambient Light Sensors ROHS,U102,6-pin chipled package,C364577
±10ppm 12pF -20℃~70℃ 贴片无源晶振 60Ω 32000000Hz SMD3225-4P Crystals ROHS,Y1,SMD-3225_4P,C90934
-40℃~85℃ 32768Hz 12.5pF 贴片无源晶振 ±20ppm 70kΩ SMD3215-2P Crystals ROHS,Y2,SMD-3215_2P,C32346
